Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
1,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.306426108,0
2,	  373,570,	  342,461,	-75.0,83.4,53,	   0.398036927,110.5541597
3,	  373,570,	  343,460,	-74.7,83.2,53,	   0.525204122,169.5582496
4,	  373,571,	  344,459,	-74.2,82.9,53.2,	   0.650779903,257.6819745
5,	  372,571,	  346,458,	-73.8,82.7,53.3,	   0.894652247,291.0708199
6,	  372,571,	  347,458,	-73.3,82.5,53.4,	   0.883832812,327.3268354
7,	  372,571,	  348,458,	-73.1,82.4,53.5,	   0.955989540,316.4747225
8,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.956160903,303.2743125
9,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.890608609,272.9468813
10,	  373,571,	  348,458,	-73.1,82.6,53.3,	   0.873657346,219.1267417
11,	  373,571,	  347,459,	-73.3,82.7,53.3,	   0.660181284,182.5741858
12,	  373,571,	  346,460,	-73.8,83,53.1,	   0.565931797,122.5952112
13,	  373,570,	  345,461,	-74.2,83.1,53.1,	   0.340322077,84.81672919
14,	  373,570,	  343,461,	-74.7,83.3,53,	   0.284871608,42.68749492
15,	  373,570,	  342,461,	-75.0,83.4,52.9,	   0.262708992,19.76423538
16,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.269885123,5.882352941
17,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
18,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.306426108,0
19,	  373,570,	  342,461,	-75.0,83.3,53,	   0.377902180,18.70828693
20,	  373,570,	  343,460,	-74.7,83.1,53.1,	   0.452785820,35.63483225
21,	  373,570,	  344,459,	-74.3,82.9,53.2,	   0.660832822,54.73452081
22,	  372,571,	  346,459,	-73.7,82.6,53.3,	   0.770178854,81.68823577
23,	  372,571,	  347,458,	-73.3,82.5,53.4,	   0.883832812,95.47032698
24,	  372,571,	  348,458,	-73.1,82.4,53.4,	   1.006379008,100.3992032
25,	  372,571,	  348,458,	-73.0,82.4,53.5,	   0.951065242,100.7369296
26,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.890608609,101.0914375
27,	  373,571,	  348,458,	-73.0,82.6,53.3,	   0.872430325,89.35711431
28,	  373,571,	  347,459,	-73.3,82.7,53.3,	   0.658966660,75.54793897
29,	  373,571,	  346,460,	-73.8,83,53.1,	   0.564720690,53.1245915
30,	  373,570,	  345,460,	-74.1,83.1,53.1,	   0.396067798,41.31047895
31,	  373,570,	  343,461,	-74.7,83.3,53,	   0.308947235,20.00976324
32,	  373,570,	  342,461,	-75.0,83.4,52.9,	   0.262708992,9.582659576
33,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.253412068,2.941176471
34,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
35,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.272278011,2.777777778
36,	  373,570,	  342,461,	-75.1,83.4,53,	   0.350365609,6.620242548
37,	  373,571,	  343,460,	-74.7,83.2,53,	   0.550477028,17.8482368
38,	  373,570,	  344,459,	-74.3,82.9,53.2,	   0.627963662,30.87588354
39,	  372,571,	  345,459,	-73.9,82.7,53.3,	   0.775067270,41.53311931
40,	  372,571,	  347,458,	-73.3,82.5,53.4,	   0.883832812,55.88506945
41,	  372,571,	  348,458,	-73.1,82.4,53.4,	   1.008040071,59.76143047
42,	  372,571,	  348,458,	-72.9,82.3,53.4,	   1.003103256,63.4760189
43,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.906998158,62.03338211
44,	  373,571,	  348,458,	-73.0,82.6,53.4,	   0.869976997,55.9982363
45,	  373,571,	  347,459,	-73.3,82.7,53.3,	   0.658966660,47.62804848
46,	  373,571,	  346,460,	-73.8,82.9,53.1,	   0.525982678,34.6357885
47,	  373,570,	  345,460,	-74.2,83.1,53.1,	   0.397269577,24.73821268
48,	  373,570,	  343,461,	-74.6,83.3,53,	   0.323002577,14.99687598
49,	  373,570,	  342,461,	-74.9,83.4,52.9,	   0.261513382,8.246211251
50,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.253412068,1.960784314
51,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
52,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.306426108,0
53,	  373,570,	  342,461,	-75.1,83.3,53,	   0.356217682,5.555555556
54,	  373,571,	  343,460,	-74.7,83.2,53,	   0.550477028,12.33150906
55,	  373,570,	  344,459,	-74.3,82.9,53.2,	   0.660832822,21.50284746
56,	  372,571,	  345,459,	-73.9,82.7,53.3,	   0.775067270,29.14604864
57,	  372,571,	  347,458,	-73.4,82.5,53.4,	   0.887516499,38.00932359
58,	  372,571,	  348,458,	-73.1,82.4,53.4,	   1.008040071,42.54203525
59,	  372,571,	  348,458,	-72.9,82.3,53.4,	   1.003103256,45.49114688
60,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.906998158,44.74539037
61,	  373,571,	  348,458,	-73.0,82.5,53.4,	   0.873324811,41.24745759
62,	  373,571,	  348,459,	-73.2,82.6,53.3,	   0.688134968,36.81718573
63,	  373,571,	  346,460,	-73.7,82.8,53.1,	   0.601466298,27.46624349
64,	  373,570,	  345,460,	-74.1,83.1,53.1,	   0.441771895,19.70192073
65,	  373,570,	  343,461,	-74.6,83.3,53,	   0.321804583,11.13404429
66,	  373,570,	  342,461,	-74.9,83.4,52.9,	   0.261513382,6.153888993
67,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.269885123,1.470588235
68,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
69,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.306426108,0
70,	  373,570,	  342,461,	-75.1,83.3,53,	   0.356217682,4.225352113
71,	  373,570,	  343,460,	-74.7,83.1,53.1,	   0.455197334,10.39349274
72,	  373,570,	  344,459,	-74.4,83,53.2,	   0.664484143,14.69014424
73,	  372,571,	  345,459,	-73.9,82.7,53.3,	   0.775067270,22.45033476
74,	  372,571,	  347,458,	-73.5,82.6,53.4,	   0.904710412,27.64858847
75,	  372,571,	  348,458,	-73.1,82.4,53.4,	   1.006379008,33.02605368
76,	  372,571,	  348,458,	-72.9,82.4,53.4,	   1.001442194,34.89617881
77,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.881822169,34.99318991
78,	  373,571,	  348,458,	-73.0,82.5,53.3,	   0.898522377,32.14791164
79,	  373,571,	  348,459,	-73.2,82.6,53.3,	   0.688134968,28.99353376
80,	  373,571,	  346,460,	-73.7,82.8,53.2,	   0.576245427,21.87659895
81,	  373,570,	  345,460,	-74.1,83.1,53.1,	   0.441771895,15.61737619
82,	  373,570,	  344,461,	-74.5,83.2,53,	   0.318210363,10.36424731
83,	  373,570,	  342,461,	-74.9,83.4,52.9,	   0.261513382,4.908459078
84,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.253412068,1.176470588
85,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
86,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.289950579,0
87,	  373,570,	  342,461,	-75.1,83.3,53,	   0.356217682,3.409090909
88,	  373,570,	  343,460,	-74.7,83.1,53.1,	   0.438744783,8.408218847
89,	  373,570,	  344,459,	-74.4,83,53.2,	   0.664484143,11.91533922
90,	  372,571,	  345,459,	-73.9,82.7,53.3,	   0.759406149,18.25631618
91,	  372,571,	  346,458,	-73.5,82.6,53.3,	   0.942867398,22.30248318
92,	  372,571,	  347,458,	-73.2,82.4,53.4,	   1.015448689,26.05170202
93,	  372,571,	  348,458,	-73.0,82.4,53.4,	   1.002676129,27.63910863
94,	  372,571,	  349,458,	-72.8,82.3,53.4,	   0.966627896,29.66105853
95,	  372,571,	  348,458,	-73.0,82.4,53.4,	   0.861505508,27.06329387
96,	  373,571,	  348,459,	-73.2,82.6,53.2,	   0.763737679,23.75612087
97,	  373,571,	  347,459,	-73.5,82.8,53.2,	   0.603026807,19.94369417
98,	  373,571,	  345,460,	-74.1,83.1,53,	   0.509875059,12.81674499
99,	  373,570,	  343,461,	-74.5,83.2,53,	   0.337059945,8.602325267
100,	  373,570,	  342,461,	-74.9,83.4,52.9,	   0.312101275,4.082282798
101,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.271081686,0.9803921569
102,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.258195013,0
103,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.273474842,0
104,	  373,570,	  342,461,	-75.1,83.3,53,	   0.339751512,2.857142857
105,	  373,570,	  342,460,	-74.8,83.1,53.1,	   0.424700379,6.328494276
106,	  373,570,	  344,459,	-74.4,83,53.1,	   0.617598653,9.801951852
107,	  372,571,	  345,459,	-74.0,82.8,53.3,	   0.761850119,14.16394309
108,	  372,571,	  346,458,	-73.5,82.5,53.4,	   0.848244727,19.44001844
109,	  372,571,	  348,458,	-73.1,82.4,53.4,	   0.995347202,22.81800072
110,	  372,571,	  348,458,	-72.9,82.3,53.4,	   1.003103256,24.58980912
111,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.964963377,24.37025726
112,	  372,571,	  348,458,	-73.0,82.4,53.4,	   0.836324751,22.99182488
113,	  373,571,	  348,459,	-73.2,82.6,53.2,	   0.763737679,20.21354144
114,	  373,571,	  346,460,	-73.6,82.8,53.2,	   0.613035381,16.19820523
115,	  373,571,	  345,460,	-74.1,83.1,53,	   0.509875059,10.93842891
116,	  373,570,	  344,461,	-74.5,83.2,53,	   0.351113588,7.352414758
117,	  373,570,	  342,461,	-74.9,83.4,53,	   0.260317922,3.595458209
118,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.253412068,0.8403361345
119,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.258195013,0
120,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
121,	  373,570,	  341,461,	-75.1,83.3,53,	   0.325683713,2.459016393
122,	  373,570,	  342,460,	-74.9,83.2,53.1,	   0.428313524,4.37818277
123,	  373,570,	  344,460,	-74.4,83,53.1,	   0.599942565,8.458135872
124,	  372,571,	  345,459,	-74.1,82.8,53.2,	   0.731444716,11.37013632
125,	  372,571,	  346,458,	-73.6,82.6,53.4,	   0.843219638,15.77349755
126,	  372,571,	  347,458,	-73.3,82.5,53.4,	   1.016684175,18.04163659
127,	  372,571,	  348,458,	-73.0,82.3,53.4,	   1.004337192,20.64038252
128,	  372,571,	  349,458,	-72.8,82.3,53.4,	   0.963731766,21.8434152
129,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.865432620,20.99591394
130,	  373,571,	  348,459,	-73.1,82.5,53.3,	   0.813864291,18.69839498
131,	  373,571,	  347,459,	-73.5,82.8,53.2,	   0.648148596,14.80668203
132,	  373,571,	  345,460,	-74.0,83.1,53,	   0.542750359,10.25427195
133,	  373,570,	  344,461,	-74.4,83.2,53,	   0.348714709,7.118949264
134,	  373,570,	  342,461,	-74.9,83.4,53,	   0.257927775,3.142696805
135,	  373,570,	  342,461,	-75.1,83.5,52.9,	   0.268688679,1.470588235
136,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
137,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.273474842,0
138,	  373,570,	  341,461,	-75.2,83.4,53,	   0.328082472,1.246079718
139,	  373,570,	  342,460,	-74.9,83.2,53.1,	   0.444770932,3.846546291
140,	  373,570,	  344,460,	-74.4,83,53.1,	   0.584714115,7.438360625
141,	  372,571,	  345,459,	-74.0,82.7,53.2,	   0.731912434,10.95517548
142,	  372,571,	  346,458,	-73.6,82.6,53.4,	   0.843219638,13.89832651
143,	  372,571,	  347,458,	-73.2,82.4,53.4,	   0.999049366,16.82505755
144,	  372,571,	  348,458,	-73.0,82.4,53.4,	   1.005571365,17.91776697
145,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.981352448,18.69499187
146,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.865432620,18.56781505
147,	  373,571,	  348,458,	-73.1,82.6,53.3,	   0.840859532,16.28644702
148,	  373,571,	  347,459,	-73.5,82.8,53.2,	   0.646934152,13.11732905
149,	  373,571,	  345,460,	-73.9,83,53.1,	   0.515594423,10
150,	  373,570,	  344,461,	-74.5,83.2,53,	   0.349913895,5.69690415
151,	  373,570,	  343,461,	-74.8,83.3,53,	   0.273195237,3.603437878
152,	  373,570,	  342,461,	-75.1,83.4,52.9,	   0.267492414,1.461482338
153,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
154,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
155,	  373,570,	  341,461,	-75.1,83.3,53,	   0.325683713,1.923076923
156,	  373,570,	  342,460,	-74.9,83.2,53,	   0.470067024,3.24778313
157,	  373,570,	  343,460,	-74.5,83,53.1,	   0.588353395,6.103576431
158,	  372,571,	  345,459,	-74.0,82.7,53.2,	   0.731912434,9.783867413
159,	  372,571,	  346,458,	-73.6,82.6,53.4,	   0.843219638,12.42162932
160,	  372,571,	  347,458,	-73.3,82.5,53.4,	   0.997386813,14.23160154
161,	  372,571,	  348,458,	-73.0,82.4,53.4,	   1.003910303,16.03750748
162,	  372,571,	  349,458,	-72.8,82.3,53.4,	   0.999402523,17.28712
163,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.890608609,16.64310252
164,	  373,571,	  348,458,	-73.1,82.6,53.3,	   0.840859532,14.60844945
165,	  373,571,	  347,459,	-73.4,82.7,53.2,	   0.646199644,12.54979919
166,	  373,571,	  346,460,	-73.9,83,53.1,	   0.536700368,8.982035928
167,	  373,570,	  344,461,	-74.4,83.2,53,	   0.346316010,5.678209532
168,	  373,570,	  343,461,	-74.8,83.3,53,	   0.288460821,3.240961879
169,	  373,570,	  342,461,	-75.1,83.4,52.9,	   0.267492414,1.315334104
170,	  373,570,	  341,461,	-75.2,83.5,52.9,	   0.269885123,0.5847953216
171,	  373,570,	  341,461,	-75.3,83.5,52.9,	   0.274671823,0
172,	  373,570,	  341,461,	-75.2,83.5,53,	   0.320497662,0.8174644869
173,	  373,570,	  342,460,	-74.9,83.3,53.1,	   0.399593115,2.815505451
174,	  373,570,	  343,460,	-74.5,83,53.1,	   0.479651302,5.510657578
175,	  373,570,	  345,459,	-74.1,82.9,53.2,	   0.671182036,7.811208571
176,	  372,571,	  346,458,	-73.6,82.6,53.4,	   0.847346306,11.22859148
177,	  372,571,	  347,458,	-73.3,82.5,53.4,	   0.972174823,12.87240364
178,	  372,571,	  348,458,	-73.0,82.4,53.5,	   0.951065242,14.63217972
179,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.914595842,15.16371563
180,	  372,571,	  349,458,	-72.9,82.3,53.4,	   0.865432620,15.07993819
181,	  373,571,	  348,458,	-73.1,82.6,53.4,	   0.763594449,13.34610747
182,	  373,571,	  347,459,	-73.4,82.7,53.3,	   0.662611783,11.47540984
183,	  373,570,	  346,460,	-73.9,83,53.1,	   0.435753495,8.152173913
184,	  373,570,	  344,461,	-74.4,83.2,53,	   0.329868257,5.156428116
185,	  373,570,	  343,461,	-74.7,83.3,53,	   0.269608468,3.442539913
