Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  465,491,	  455,328,	-51.1,112.9,86,	   0.156409368,0
1,	  465,491,	  455,328,	-51.1,112.8,86,	   0.141565591,50
2,	  464,491,	  455,328,	-51.0,112.4,86,	   0.149568975,169.9673171
3,	  464,491,	  455,328,	-51.0,112.4,86.1,	   0.167376563,129.9038106
4,	  463,491,	  455,328,	-50.8,112,86.1,	   0.154251084,190.7878403
5,	  463,491,	  456,328,	-50.6,111.8,86,	   0.146513954,201.3840996
6,	  462,491,	  456,329,	-50.4,111.4,86,	   0.133454844,236.470648
7,	  462,491,	  457,329,	-50.2,111.2,86,	   0.076241851,240.4423008
8,	  462,492,	  457,329,	-50.1,111.1,86,	   0.198514462,228.7917809
9,	  462,492,	  457,329,	-50.0,111.2,86,	   0.219362676,202.4845673
10,	  463,492,	  458,329,	-50.0,111.4,85.9,	   0.159291640,169.3448728
11,	  463,491,	  458,328,	-50.0,111.6,86,	   0.124468118,141.911553
12,	  463,491,	  458,328,	-50.0,111.6,86.1,	   0.191436708,131.2209393
13,	  464,491,	  457,328,	-50.3,112.1,86,	   0.199134916,80.81220356
14,	  464,491,	  457,329,	-50.4,112.2,86,	   0.059991404,65.99663291
15,	  465,491,	  456,328,	-50.7,112.7,86,	   0.129412711,27.95084972
16,	  465,491,	  455,328,	-50.9,112.8,86.1,	   0.218827590,14.40876319
17,	  465,491,	  455,328,	-51.0,112.8,86.1,	   0.170910880,9.622504486
18,	  465,491,	  455,328,	-51.1,112.8,86,	   0.141565591,5.263157895
19,	  465,491,	  455,328,	-51.1,112.7,86,	   0.145737693,10
20,	  464,491,	  455,328,	-51.0,112.4,86.1,	   0.166270718,24.74358297
21,	  463,491,	  455,328,	-50.8,112,86.1,	   0.154251084,43.36087279
22,	  463,491,	  456,328,	-50.6,111.9,86,	   0.164295822,48.61017342
23,	  462,491,	  456,329,	-50.4,111.4,86,	   0.133454844,68.97060566
24,	  462,491,	  457,329,	-50.2,111.2,86,	   0.059592146,76.94153625
