Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  416,490,	  399,336,	-62.4,96.7,85.6,	   0.420189679,0
1,	  416,490,	  399,336,	-62.4,96.6,85.6,	   0.417682439,50
2,	  415,490,	  400,336,	-62.2,96.4,85.6,	   0.419619322,120.1850425
3,	  415,490,	  400,336,	-61.9,95.9,85.6,	   0.370655984,235.8495283
4,	  414,490,	  401,336,	-61.6,95.6,85.6,	   0.350141227,272.0294102
5,	  413,490,	  402,337,	-61.1,95,85.6,	   0.452749312,356.6822427
6,	  413,490,	  403,337,	-60.7,94.7,85.6,	   0.435118675,374.9829928
7,	  413,491,	  404,337,	-60.5,94.5,85.5,	   0.352084666,363.5759893
8,	  412,491,	  404,337,	-60.3,94.3,85.6,	   0.418776304,354.3381938
9,	  413,491,	  405,337,	-60.2,94.4,85.5,	   0.360518038,318.4336666
10,	  413,491,	  405,337,	-60.3,94.6,85.6,	   0.412287414,269.9862255
11,	  414,491,	  404,337,	-60.6,95,85.5,	   0.409952670,206.4918616
12,	  414,490,	  403,336,	-61.0,95.3,85.6,	   0.371268809,152.2999221
13,	  415,490,	  402,336,	-61.4,95.8,85.6,	   0.441785187,96.09731462
14,	  415,490,	  401,336,	-61.7,96.2,85.6,	   0.435437918,57.34883511
15,	  416,490,	  400,336,	-62.1,96.5,85.6,	   0.428239435,22.53469547
16,	  416,490,	  399,336,	-62.4,96.7,85.6,	   0.422302514,0
17,	  416,490,	  399,336,	-62.4,96.7,85.6,	   0.420189679,0
18,	  416,490,	  399,336,	-62.4,96.6,85.6,	   0.417682439,5.263157895
19,	  415,490,	  400,336,	-62.2,96.4,85.6,	   0.419619322,18.02775638
20,	  415,490,	  400,336,	-61.9,96,85.6,	   0.422826320,40.96345365
21,	  414,490,	  401,336,	-61.6,95.6,85.6,	   0.350141227,61.82486595
22,	  413,491,	  402,337,	-61.1,95.1,85.5,	   0.379023165,89.73811931
23,	  413,491,	  403,337,	-60.8,94.7,85.6,	   0.394836009,106.7187373
24,	  413,491,	  404,337,	-60.5,94.5,85.5,	   0.352084666,116.3443166
25,	  412,491,	  405,337,	-60.3,94.3,85.6,	   0.437004894,122.6555286
26,	  413,491,	  405,337,	-60.2,94.4,85.5,	   0.360518038,117.938395
27,	  413,491,	  405,337,	-60.3,94.6,85.6,	   0.411449790,106.0660172
28,	  413,491,	  404,337,	-60.5,94.8,85.5,	   0.401149035,92.71951489
29,	  414,490,	  403,336,	-61.0,95.3,85.6,	   0.371268809,65.99663291
30,	  415,490,	  402,336,	-61.3,95.7,85.6,	   0.391777545,47.95506048
31,	  415,490,	  401,336,	-61.7,96.2,85.6,	   0.437545151,26.88226646
32,	  416,490,	  400,336,	-62.0,96.5,85.6,	   0.431404024,13.55192714
33,	  416,490,	  400,336,	-62.2,96.7,85.6,	   0.428637415,5.882352941
