Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  469,572,	  480,450,	-44.5,111.9,53.6,	   0.693452895,0
1,	  469,572,	  480,450,	-44.5,111.9,53.6,	   0.693452895,0
2,	  469,572,	  480,450,	-44.4,111.8,53.6,	   0.703310132,47.14045208
3,	  468,572,	  480,450,	-44.4,111.5,53.7,	   0.692987740,106.0660172
4,	  467,572,	  480,450,	-44.3,111.1,53.7,	   0.679235160,166.1324773
5,	  466,572,	  480,451,	-44.2,110.6,53.7,	   0.703860700,222.9848027
6,	  465,573,	  481,451,	-43.9,110,53.6,	   0.617575824,284.6408406
7,	  464,572,	  481,451,	-43.8,109.5,53.7,	   0.780003726,312.7499001
8,	  464,573,	  481,451,	-43.6,109.3,53.6,	   0.607073069,305.7070332
9,	  464,573,	  481,451,	-43.7,109.3,53.5,	   0.532803357,272.2131518
10,	  464,573,	  481,451,	-43.6,109.5,53.6,	   0.640634239,233.018284
11,	  465,573,	  481,451,	-43.8,110,53.6,	   0.573348701,168.7371394
12,	  466,573,	  481,451,	-43.9,110.4,53.6,	   0.589332461,124.273034
13,	  467,572,	  481,451,	-44.0,110.9,53.6,	   0.704141080,79.85957062
14,	  468,572,	  481,451,	-44.2,111.4,53.5,	   0.666172802,39.44053189
15,	  469,572,	  480,450,	-44.4,111.7,53.6,	   0.740230501,13.97542486
16,	  469,572,	  480,450,	-44.4,111.9,53.7,	   0.695194900,8.318903308
17,	  469,572,	  480,450,	-44.5,111.9,53.6,	   0.693452895,0
18,	  469,572,	  480,450,	-44.5,111.9,53.6,	   0.693452895,0
19,	  469,572,	  480,450,	-44.4,111.8,53.7,	   0.686574340,8.660254038
20,	  468,572,	  480,450,	-44.4,111.5,53.7,	   0.692987740,20.20305089
21,	  467,572,	  480,450,	-44.3,111.2,53.7,	   0.682671905,33.40213286
22,	  466,572,	  480,451,	-44.2,110.7,53.7,	   0.709026158,53.95510281
