Frame,Image 1 X,	Image 1 Y,	Image 2 X,	Image 2 Y,	Measurement X,	Measurement Y,	Measurement Z,	Uncertainty +/-,Velocity
0,	  393,454,	  327,286,	-81.2,94.2,99.1,	   0.33,0
1,	  393,454,	  327,286,	-81.1,93.9,99.1,	   0.33,158.113883
2,	  392,454,	  328,286,	-80.8,93.6,99.2,	   0.25,242.6703296
3,	  391,454,	  329,286,	-80.4,93.2,99.2,	   0.28,321.1308145
4,	  391,454,	  330,286,	-80.0,92.9,99.2,	   0.27,354.4009029
5,	  391,454,	  331,286,	-79.6,92.7,99.3,	   0.41,367.0452591
6,	  391,454,	  332,286,	-79.3,92.6,99.3,	   0.32,355.9981656
7,	  391,454,	  333,286,	-79.0,92.7,99.3,	   0.38,333.7757481
8,	  392,454,	  334,286,	-78.9,92.9,99.3,	   0.44,294.3920289
9,	  392,454,	  334,286,	-78.9,92.9,99.3,	   0.34,264.952826
10,	  392,454,	  334,286,	-79.0,93.1,99.3,	   0.39,224.344776
11,	  393,454,	  333,286,	-79.3,93.3,99.3,	   0.41,175.9892673
12,	  393,454,	  332,286,	-79.7,93.6,99.3,	   0.40,125.2216969
13,	  393,454,	  331,286,	-80.0,93.7,99.2,	   0.26,93.13146293
14,	  393,454,	  329,286,	-80.5,94,99.1,	   0.30,48.53406593
15,	  393,454,	  328,286,	-80.9,94.2,99.1,	   0.37,18.75
16,	  393,454,	  327,286,	-81.1,94.2,99.1,	   0.33,5.882352941
17,	  393,454,	  327,286,	-81.2,94.2,99.1,	   0.33,0
18,	  393,454,	  327,286,	-81.1,93.9,99.1,	   0.30,16.64356663
19,	  392,454,	  328,286,	-80.8,93.6,99.2,	   0.25,36.40054945
20,	  391,454,	  329,286,	-80.4,93.2,99.2,	   0.26,61.16777418
21,	  391,454,	  330,286,	-80.1,92.9,99.2,	   0.28,77.53964595
22,	  391,454,	  331,286,	-79.7,92.7,99.3,	   0.38,92.64032936
23,	  391,454,	  332,286,	-79.2,92.4,99.2,	   0.29,112.1909335
24,	  391,454,	  333,286,	-79.0,92.7,99.3,	   0.38,106.8082394
25,	  392,454,	  334,286,	-78.9,92.8,99.3,	   0.41,103.8461538
26,	  392,454,	  334,286,	-78.9,92.9,99.2,	   0.31,97.92077086
27,	  392,454,	  334,286,	-79.0,93,99.2,	   0.31,89.57097289
28,	  392,454,	  333,286,	-79.2,93.1,99.2,	   0.31,78.78385972
29,	  393,454,	  332,286,	-79.5,93.4,99.2,	   0.30,62.71629241
30,	  393,454,	  331,286,	-80.0,93.7,99.1,	   0.27,41.93548387
31,	  393,454,	  330,286,	-80.3,93.9,99.2,	   0.28,29.81060004
32,	  393,454,	  328,286,	-80.9,94.2,99.1,	   0.37,9.090909091
33,	  393,454,	  328,286,	-81.1,94.2,99,	   0.37,4.159451654
34,	  393,454,	  327,286,	-81.1,94.1,99.1,	   0.33,4.040610178
35,	  393,454,	  327,286,	-81.0,93.9,99.1,	   0.30,10.01542021
36,	  392,454,	  328,286,	-80.8,93.6,99.2,	   0.25,19.67597267
37,	  391,454,	  329,286,	-80.4,93.2,99.2,	   0.26,33.80324363
38,	  391,454,	  330,286,	-80.1,92.9,99.2,	   0.28,43.7403131
39,	  391,454,	  331,286,	-79.6,92.5,99.2,	   0.28,58.41660723
40,	  391,454,	  332,286,	-79.2,92.4,99.2,	   0.29,65.67274155
41,	  391,454,	  333,286,	-79.0,92.5,99.2,	   0.30,66.24013211
42,	  392,454,	  334,286,	-78.9,92.7,99.3,	   0.36,64.02744139
43,	  392,454,	  334,286,	-78.9,92.9,99.2,	   0.31,60.08774576
44,	  392,454,	  334,286,	-79.0,93.1,99.3,	   0.39,54.83983413
45,	  392,454,	  333,286,	-79.2,93.1,99.2,	   0.31,49.66808547
46,	  393,454,	  332,286,	-79.5,93.3,99.2,	   0.30,40.98161763
47,	  393,454,	  331,286,	-80.0,93.7,99.2,	   0.33,27.16334336
48,	  393,454,	  330,286,	-80.3,93.9,99.2,	   0.28,19.46814697
49,	  393,454,	  328,286,	-80.9,94.2,99.1,	   0.37,6
50,	  393,454,	  328,286,	-81.0,94.2,99.1,	   0.34,3.921568627
51,	  393,454,	  327,286,	-81.1,94.1,99.1,	   0.33,2.719641466
52,	  393,454,	  327,286,	-81.1,94,99.1,	   0.30,4.218996184
53,	  392,454,	  328,286,	-80.9,93.6,99.1,	   0.31,12.42259987
54,	  391,454,	  328,286,	-80.5,93.2,99.2,	   0.27,22.26808857
55,	  391,454,	  330,286,	-80.1,92.9,99.2,	   0.28,30.46200377
56,	  391,454,	  331,286,	-79.7,92.6,99.2,	   0.30,38.51666386
57,	  391,454,	  332,286,	-79.3,92.6,99.3,	   0.42,42.96529584
58,	  391,454,	  333,286,	-79.0,92.5,99.3,	   0.35,47.24528768
59,	  392,454,	  334,286,	-78.9,92.7,99.3,	   0.34,45.88633299
60,	  392,454,	  334,286,	-78.9,92.9,99.2,	   0.31,43.34198055
61,	  392,454,	  334,286,	-78.9,92.9,99.3,	   0.36,42.73432677
62,	  392,454,	  333,286,	-79.2,93.2,99.2,	   0.31,35.52861791
63,	  393,454,	  332,286,	-79.5,93.3,99.2,	   0.30,30.09587544
64,	  393,454,	  331,286,	-79.8,93.5,99.2,	   0.29,24.12982637
65,	  393,454,	  330,286,	-80.4,93.9,99.2,	   0.27,13.03382616
66,	  393,454,	  329,286,	-80.8,94.2,99.1,	   0.31,5.970149254
67,	  393,454,	  328,286,	-81.0,94.2,99.1,	   0.34,2.941176471
68,	  393,454,	  327,286,	-81.1,94.1,99.1,	   0.33,2.049584873
69,	  393,454,	  327,286,	-81.0,93.9,99,	   0.28,5.345224838
70,	  392,454,	  328,286,	-80.9,93.6,99.1,	   0.31,9.448174553
71,	  392,454,	  328,286,	-80.6,93.3,99.2,	   0.29,15.08719513
72,	  391,454,	  330,286,	-80.1,92.9,99.2,	   0.26,23.36811248
73,	  391,454,	  331,286,	-79.7,92.6,99.2,	   0.32,29.66824108
74,	  391,454,	  332,286,	-79.4,92.6,99.3,	   0.39,32.22145593
75,	  391,454,	  333,286,	-79.1,92.5,99.3,	   0.35,35.64793996
76,	  392,454,	  334,286,	-78.9,92.7,99.3,	   0.34,35.75558415
77,	  392,454,	  334,286,	-78.9,92.9,99.2,	   0.31,33.89565145
78,	  392,454,	  334,286,	-79.0,93,99.3,	   0.39,31.82229137
79,	  392,454,	  333,286,	-79.2,93.2,99.3,	   0.38,28.0624304
80,	  393,454,	  332,286,	-79.5,93.3,99.2,	   0.30,23.77945714
