Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.509703755,0
1,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.524060488,50
2,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,47.14045208
3,	  375,600,	  349,512,	-73.6,83.7,40.1,	   0.597247183,61.23724357
4,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,120
5,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,100
6,	  375,601,	  349,512,	-73.4,83.4,40,	   0.549580336,85.71428571
7,	  375,601,	  349,512,	-73.4,83.4,40,	   0.567266524,75
8,	  375,601,	  349,512,	-73.4,83.4,40,	   0.567266524,66.66666667
9,	  375,601,	  349,512,	-73.4,83.6,40,	   0.578133166,48.98979486
10,	  375,601,	  349,512,	-73.4,83.6,40,	   0.545114577,44.53617714
11,	  375,601,	  349,512,	-73.4,83.6,40,	   0.545114577,40.82482905
12,	  375,600,	  349,512,	-73.5,83.7,40.1,	   0.602972984,25.51249839
13,	  375,600,	  349,511,	-73.5,83.7,40.2,	   0.536927402,22.58769757
14,	  375,600,	  349,511,	-73.6,83.8,40.2,	   0.550854325,13.33333333
15,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.513057232,0
16,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.495344013,0
17,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.511866450,0
18,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.507541358,5.263157895
19,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,7.071067812
20,	  375,600,	  349,512,	-73.6,83.7,40.1,	   0.597247183,11.66423687
21,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,27.27272727
22,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,26.08695652
23,	  375,601,	  349,512,	-73.4,83.5,40,	   0.551751614,22.4381867
24,	  375,601,	  349,512,	-73.4,83.4,40,	   0.542025805,24
25,	  375,601,	  349,512,	-73.4,83.4,40,	   0.567266524,23.07692308
26,	  375,601,	  349,512,	-73.4,83.4,40,	   0.567266524,22.22222222
27,	  375,601,	  349,512,	-73.4,83.6,40,	   0.545114577,17.49635531
28,	  375,601,	  349,512,	-73.4,83.6,40,	   0.545114577,16.89303271
29,	  375,600,	  349,512,	-73.5,83.6,40.1,	   0.670201600,12.47219129
30,	  375,600,	  349,511,	-73.5,83.7,40.2,	   0.536927402,10.20089568
31,	  375,600,	  349,511,	-73.6,83.7,40.2,	   0.548688293,6.98771243
32,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.529578865,0
33,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.513057232,0
34,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.509703755,0
35,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.524060488,2.777777778
36,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,3.822198817
37,	  375,600,	  349,512,	-73.6,83.7,40.1,	   0.597247183,6.446025639
38,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,15.38461538
39,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,15
40,	  375,601,	  349,512,	-73.4,83.5,40,	   0.551751614,13.13454831
41,	  375,601,	  349,512,	-73.4,83.5,40,	   0.569439530,12.82182097
42,	  375,601,	  349,512,	-73.4,83.4,40,	   0.583775043,13.95348837
43,	  375,601,	  349,512,	-73.4,83.4,40,	   0.566079557,13.63636364
44,	  375,600,	  349,512,	-73.4,83.4,40.1,	   0.660497129,12.76569477
45,	  375,600,	  349,512,	-73.4,83.4,40.1,	   0.660497129,12.48817967
46,	  375,600,	  349,512,	-73.5,83.6,40.1,	   0.668023884,7.960973163
47,	  375,600,	  349,511,	-73.5,83.7,40.2,	   0.536927402,6.588078459
48,	  375,600,	  349,511,	-73.5,83.7,40.2,	   0.538115978,6.453627878
49,	  375,600,	  348,511,	-73.7,83.8,40.2,	   0.527414441,2
50,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.513057232,0
51,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.507541358,1.923076923
52,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.524060488,1.886792453
53,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,2.618914004
54,	  375,600,	  349,512,	-73.6,83.7,40.1,	   0.597247183,4.453617714
55,	  375,601,	  349,512,	-73.4,83.4,40,	   0.506643236,10.71428571
56,	  375,601,	  349,512,	-73.4,83.4,40,	   0.531887174,10.52631579
57,	  375,601,	  349,512,	-73.4,83.5,40,	   0.551751614,9.284766909
58,	  375,601,	  349,512,	-73.4,83.5,40,	   0.569439530,9.127397978
59,	  375,601,	  349,512,	-73.4,83.5,40,	   0.585949719,8.975274679
60,	  375,601,	  349,512,	-73.4,83.4,40,	   0.566079557,9.836065574
61,	  375,601,	  349,512,	-73.4,83.4,40,	   0.533076227,9.677419355
62,	  375,600,	  349,512,	-73.4,83.4,40.1,	   0.660497129,9.118353407
63,	  375,600,	  349,512,	-73.4,83.6,40.1,	   0.669204772,7.160274523
64,	  375,600,	  349,511,	-73.5,83.6,40.2,	   0.534763336,5.547001962
65,	  375,600,	  349,511,	-73.5,83.7,40.2,	   0.538115978,4.791329788
66,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.529578865,0
67,	  375,600,	  348,511,	-73.8,83.8,40.2,	   0.513057232,0
68,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.507541358,1.449275362
69,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.507541358,1.428571429
70,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,1.991850088
71,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,1.964185503
72,	  375,601,	  349,512,	-73.6,83.5,40,	   0.435850590,5.648089898
73,	  375,601,	  349,512,	-73.4,83.4,40,	   0.533076227,8.108108108
74,	  375,601,	  349,512,	-73.4,83.5,40,	   0.526507854,7.180219743
75,	  375,601,	  349,512,	-73.4,83.5,40,	   0.568252563,7.085743167
76,	  375,601,	  349,512,	-73.4,83.5,40,	   0.569439530,6.993720529
77,	  375,601,	  349,512,	-73.4,83.5,40,	   0.568252563,6.904057445
78,	  375,601,	  349,512,	-73.4,83.4,40,	   0.534265041,7.594936709
79,	  375,600,	  349,512,	-73.4,83.4,40.1,	   0.660497129,7.180703308
80,	  375,600,	  349,512,	-73.5,83.6,40.1,	   0.668023884,4.619330107
81,	  375,600,	  349,511,	-73.5,83.6,40.2,	   0.534763336,4.397013751
82,	  375,600,	  349,511,	-73.5,83.6,40.2,	   0.535951972,4.344037681
83,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,1.683587574
84,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.508732140,1.663780662
85,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.507541358,1.162790698
86,	  375,600,	  348,511,	-73.8,83.7,40.2,	   0.524060488,1.149425287
87,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,1.607060866
88,	  375,600,	  348,511,	-73.7,83.7,40.2,	   0.525250316,1.589004003
89,	  375,601,	  349,512,	-73.6,83.5,40,	   0.435850590,4.581228473
90,	  375,601,	  349,512,	-73.4,83.4,40,	   0.531887174,6.593406593
91,	  375,601,	  349,512,	-73.4,83.5,40,	   0.551751614,5.853440008
92,	  375,601,	  349,512,	-73.4,83.5,40,	   0.569439530,5.790499793
93,	  375,601,	  349,512,	-73.4,83.5,40,	   0.569439530,5.728898731
94,	  375,601,	  349,512,	-73.4,83.5,40,	   0.585949719,5.668594534
95,	  375,601,	  349,512,	-73.4,83.4,40,	   0.567266524,6.25
96,	  375,601,	  349,512,	-73.4,83.4,40,	   0.534265041,6.18556701
97,	  375,600,	  349,512,	-73.4,83.4,40.1,	   0.659316182,5.861798619
