Frame,Image 1 X,   Image 1 Y,    Image 2 X,    Image 2 Y,    Measurement X,    Measurement Y,    Measurement Z,    Uncertainty +/-,Velocity
0,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.224947363,0
1,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.226220861,0
2,	  377,530,	  333,400,	-77.7,85.9,68.8,	   0.253436118,100
3,	  376,530,	  334,401,	-77.5,85.7,68.8,	   0.243919596,143.6140662
4,	  376,531,	  334,401,	-77.3,85.5,68.8,	   0.266115248,170.8800749
5,	  376,531,	  335,401,	-77.1,85.4,68.8,	   0.226244360,177.9513042
6,	  376,531,	  336,401,	-76.9,85.4,68.8,	   0.219365358,174.9635531
7,	  376,531,	  336,401,	-76.8,85.3,68.7,	   0.293464810,171.8465886
8,	  376,531,	  336,401,	-76.7,85.3,68.7,	   0.337007433,161.7802198
9,	  376,531,	  336,401,	-76.7,85.3,68.7,	   0.337007433,145.6021978
10,	  376,531,	  336,401,	-76.8,85.4,68.7,	   0.370998919,119.9173269
11,	  377,531,	  336,401,	-77.0,85.6,68.7,	   0.343908966,87.40073735
12,	  377,531,	  335,400,	-77.1,85.8,68.8,	   0.301533967,66.17173282
13,	  377,531,	  335,400,	-77.3,85.9,68.8,	   0.356691480,45.7366017
14,	  377,530,	  334,400,	-77.6,86.1,68.9,	   0.212194279,20
15,	  377,530,	  334,400,	-77.7,86.1,68.9,	   0.217932329,12.5
16,	  377,530,	  333,400,	-77.8,86.2,68.9,	   0.221376613,8.318903308
17,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.224947363,0
18,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.226220861,0
19,	  377,530,	  333,400,	-77.7,85.9,68.8,	   0.253436118,15
20,	  376,530,	  334,401,	-77.5,85.7,68.8,	   0.228565857,27.35506022
21,	  376,531,	  334,401,	-77.3,85.5,68.8,	   0.266115248,38.83638066
22,	  376,531,	  335,401,	-77.1,85.4,68.8,	   0.226244360,46.42207936
23,	  376,531,	  336,401,	-76.9,85.4,68.8,	   0.219365358,51.03103631
24,	  376,531,	  336,401,	-76.8,85.2,68.7,	   0.193274722,57.41080038
25,	  376,531,	  336,401,	-76.7,85.3,68.7,	   0.337007433,56.0008453
26,	  376,531,	  336,401,	-76.7,85.3,68.7,	   0.287587374,53.92673992
27,	  376,531,	  336,401,	-76.7,85.3,68.7,	   0.335736454,52.00078492
28,	  377,531,	  336,401,	-76.9,85.6,68.8,	   0.241364688,38.70680055
29,	  377,531,	  336,400,	-77.1,85.7,68.8,	   0.353697151,30
30,	  377,531,	  335,400,	-77.3,85.9,68.8,	   0.354380101,20.65523948
31,	  377,530,	  334,400,	-77.5,86.1,68.9,	   0.209899843,12.5
32,	  377,530,	  334,400,	-77.6,86.1,68.9,	   0.239900589,9.090909091
33,	  377,530,	  333,400,	-77.8,86.2,68.9,	   0.221376613,4.159451654
34,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.224947363,0
35,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.226220861,0
36,	  377,530,	  333,400,	-77.7,85.9,68.8,	   0.278861105,8.108108108
37,	  376,530,	  334,401,	-77.5,85.7,68.8,	   0.243919596,15.11727012
38,	  376,531,	  334,401,	-77.3,85.5,68.8,	   0.266115248,21.90770191
39,	  376,531,	  335,401,	-77.1,85.4,68.8,	   0.226244360,26.69269563
40,	  376,531,	  336,401,	-76.9,85.4,68.8,	   0.219365358,29.87182613
41,	  376,531,	  336,401,	-76.8,85.3,68.7,	   0.293464810,32.73268354
42,	  376,531,	  336,401,	-76.7,85.2,68.7,	   0.279982865,35.19243244
43,	  376,531,	  337,401,	-76.6,85.3,68.7,	   0.318233669,34.98819163
44,	  376,531,	  336,401,	-76.7,85.3,68.7,	   0.319264919,32.35604395
45,	  377,531,	  336,401,	-76.9,85.6,68.8,	   0.241364688,24.40211339
46,	  377,531,	  336,400,	-77.1,85.8,68.8,	   0.310552537,18.30281972
47,	  377,531,	  335,400,	-77.3,85.9,68.8,	   0.354380101,13.33984216
48,	  377,530,	  334,400,	-77.5,86,68.9,	   0.202407539,8.414501277
49,	  377,530,	  334,400,	-77.6,86.1,68.9,	   0.214489236,6
50,	  377,530,	  333,400,	-77.8,86.1,68.9,	   0.219080418,1.960784314
51,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.224947363,0
52,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.226220861,0
53,	  377,530,	  333,400,	-77.7,85.9,68.8,	   0.269942105,5.555555556
54,	  376,530,	  334,401,	-77.5,85.7,68.8,	   0.246217087,10.44465936
55,	  376,531,	  334,401,	-77.3,85.5,68.8,	   0.266115248,15.25714955
56,	  376,531,	  335,401,	-77.1,85.4,68.8,	   0.226244360,18.73171623
57,	  376,531,	  336,401,	-76.9,85.3,68.7,	   0.256191671,22.34738172
58,	  376,531,	  336,401,	-76.8,85.3,68.7,	   0.293464810,23.30123235
59,	  376,531,	  336,401,	-76.7,85.2,68.7,	   0.288863361,25.22124325
60,	  376,531,	  337,401,	-76.6,85.3,68.7,	   0.318233669,25.23738413
61,	  376,531,	  337,401,	-76.7,85.3,68.7,	   0.351058871,23.48422545
62,	  377,531,	  336,401,	-76.9,85.6,68.8,	   0.240089297,17.81741613
63,	  377,530,	  336,400,	-77.1,85.8,68.9,	   0.131562084,13.35000585
64,	  377,531,	  335,400,	-77.2,85.9,68.8,	   0.355645686,11.30533727
65,	  377,530,	  334,400,	-77.4,86,68.9,	   0.184755847,7.725787142
66,	  377,530,	  334,400,	-77.6,86.1,68.9,	   0.214489236,4.47761194
67,	  377,530,	  333,400,	-77.7,86.1,68.9,	   0.220354229,2.941176471
68,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.224947363,0
69,	  377,530,	  333,400,	-77.9,86.1,68.9,	   0.226220861,0
